term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"long-range energy","long-range energy","2","1000","0.002","",""
"logic trees","logic trees","2","1000","0.002","",""
"logging biomass","logging biomass","2","1000","0.002","",""
"lock biomass","lock biomass","2","1000","0.002","",""
"locally grown","locally grown","2","1000","0.002","",""
"local political","local political","2","1000","0.002","",""
"local biomass","local biomass","2","1000","0.002","",""
"liquid biofuels","liquid biofuels","2","1000","0.002","",""
"lift parliament","lift parliament","2","1000","0.002","",""
"life earth","life earth","2","1000","0.002","",""
"life cycle","life cycle","2","1000","0.002","",""
"life biomass","life biomass","2","1000","0.002","",""
"levels carbon","levels carbon","2","1000","0.002","",""
"level percent","level percent","2","1000","0.002","",""
"least percent","least percent","2","1000","0.002","",""
"leading environmentalist","leading environmentalist","2","1000","0.002","",""
"largest biomass","largest biomass","2","1000","0.002","",""
"large-scale biomass","large-scale biomass","2","1000","0.002","",""
"large scale","large scale","2","1000","0.002","",""
"large decrease","large decrease","2","1000","0.002","",""
"large bulk","large bulk","2","1000","0.002","",""
"koda energy","koda energy","2","1000","0.002","",""
"kg dried","kg dried","2","1000","0.002","",""
"key biomass","key biomass","2","1000","0.002","",""
"kelp forests","kelp forests","2","1000","0.002","",""
"kelowna british","kelowna british","2","1000","0.002","",""
"jobs transform","jobs transform","2","1000","0.002","",""
"jobs bio","jobs bio","2","1000","0.002","",""
"issues short-term","issues short-term","2","1000","0.002","",""
"internal combustion","internal combustion","2","1000","0.002","",""
"interior department","interior department","2","1000","0.002","",""
"intergovernmental panel","intergovernmental panel","2","1000","0.002","",""
"inefficient biomass","inefficient biomass","2","1000","0.002","",""
"increased carbon","increased carbon","2","1000","0.002","",""
"increase electricity","increase electricity","2","1000","0.002","",""
"inclusion biomass","inclusion biomass","2","1000","0.002","",""
"including waste-to-energy","including waste-to-energy","2","1000","0.002","",""
"including drax","including drax","2","1000","0.002","",""
"include solar","include solar","2","1000","0.002","",""
"hydropower wind","hydropower wind","2","1000","0.002","",""
"hydropower biomass","hydropower biomass","2","1000","0.002","",""
"hydro geothermal","hydro geothermal","2","1000","0.002","",""
"hydro generation","hydro generation","2","1000","0.002","",""
"human biomass","human biomass","2","1000","0.002","",""
"hu honua","hu honua","2","1000","0.002","",""
"hotel fahrenheit","hotel fahrenheit","2","1000","0.002","",""
"hotchkiss biomass","hotchkiss biomass","2","1000","0.002","",""
"hot water","hot water","2","1000","0.002","",""
"high levels","high levels","2","1000","0.002","",""
"heating system","heating system","2","1000","0.002","",""
"heat incentive","heat incentive","2","1000","0.002","",""
"heat content","heat content","2","1000","0.002","",""
"health organization","health organization","2","1000","0.002","",""
"health forests","health forests","2","1000","0.002","",""
"harvesting plants","harvesting plants","2","1000","0.002","",""
"growth rate","growth rate","2","1000","0.002","",""
"growth biomass-based","growth biomass-based","2","1000","0.002","",""
"growing trees","growing trees","2","1000","0.002","",""
"growing harvesting","growing harvesting","2","1000","0.002","",""
"groups end","groups end","2","1000","0.002","",""
"grid 3.3","grid 3.3","2","1000","0.002","",""
"grey goo","grey goo","2","1000","0.002","",""
"greenhouse gases","greenhouse gases","2","1000","0.002","",""
"green jobs","green jobs","2","1000","0.002","",""
"greater wild","greater wild","2","1000","0.002","",""
"government's energy","government's energy","2","1000","0.002","",""
"government ensure","government ensure","2","1000","0.002","",""
"good manufacturing","good manufacturing","2","1000","0.002","",""
"gmp compliant","gmp compliant","2","1000","0.002","",""
"global so","global so","2","1000","0.002","",""
"global investments","global investments","2","1000","0.002","",""
"global industry","global industry","2","1000","0.002","",""
"geothermal steam","geothermal steam","2","1000","0.002","",""
"geothermal sources","geothermal sources","2","1000","0.002","",""
"geothermal hydroelectric","geothermal hydroelectric","2","1000","0.002","",""
"georgia's piedmont","georgia's piedmont","2","1000","0.002","",""
"generate rins","generate rins","2","1000","0.002","",""
"gas prices","gas prices","2","1000","0.002","",""
"gas nuclear","gas nuclear","2","1000","0.002","",""
"gas connections","gas connections","2","1000","0.002","",""
"gas ccs","gas ccs","2","1000","0.002","",""
"garbage incineration","garbage incineration","2","1000","0.002","",""
"gallons oil","gallons oil","2","1000","0.002","",""
"fuels oil","fuels oil","2","1000","0.002","",""
"fuels coal","fuels coal","2","1000","0.002","",""
"fuel supply","fuel supply","2","1000","0.002","",""
"fuel standard","fuel standard","2","1000","0.002","",""
"fuel plants","fuel plants","2","1000","0.002","",""
"fuel energy","fuel energy","2","1000","0.002","",""
"fuel emissions","fuel emissions","2","1000","0.002","",""
"fuel electricity","fuel electricity","2","1000","0.002","",""
"fuel cooking","fuel cooking","2","1000","0.002","",""
"former coal-fired","former coal-fired","2","1000","0.002","",""
"forestry proponents","forestry proponents","2","1000","0.002","",""
"forest management","forest management","2","1000","0.002","",""
"food production","food production","2","1000","0.002","",""
"flaw kyoto","flaw kyoto","2","1000","0.002","",""
"feed biomass","feed biomass","2","1000","0.002","",""
"facility kelowna","facility kelowna","2","1000","0.002","",""
"extremely skeptical","extremely skeptical","2","1000","0.002","",""
"exporting wood","exporting wood","2","1000","0.002","",""
"expected enacts","expected enacts","2","1000","0.002","",""
"expand biomass","expand biomass","2","1000","0.002","",""
"executive summary","executive summary","2","1000","0.002","",""
"european commission","european commission","2","1000","0.002","",""
"europe's largest","europe's largest","2","1000","0.002","",""
"eu renewable","eu renewable","2","1000","0.002","",""
"eu legislation","eu legislation","2","1000","0.002","",""
"eu good","eu good","2","1000","0.002","",""
"estimates forecasts","estimates forecasts","2","1000","0.002","",""
"estimated biomass","estimated biomass","2","1000","0.002","",""
"environmentally friendly","environmentally friendly","2","1000","0.002","",""
"environmentalists extremely","environmentalists extremely","2","1000","0.002","",""
"environmental solutions","environmental solutions","2","1000","0.002","",""
"environmental activists","environmental activists","2","1000","0.002","",""
"energy wood","energy wood","2","1000","0.002","",""
"energy wind","energy wind","2","1000","0.002","",""
"energy transition","energy transition","2","1000","0.002","",""
"energy technologies","energy technologies","2","1000","0.002","",""
"energy system","energy system","2","1000","0.002","",""
"energy storage","energy storage","2","1000","0.002","",""
"energy resources","energy resources","2","1000","0.002","",""
"energy require","energy require","2","1000","0.002","",""
"energy projects","energy projects","2","1000","0.002","",""
"energy program","energy program","2","1000","0.002","",""
"energy portfolios","energy portfolios","2","1000","0.002","",""
"energy policies","energy policies","2","1000","0.002","",""
"energy plant","energy plant","2","1000","0.002","",""
"energy plans","energy plans","2","1000","0.002","",""
"energy plan","energy plan","2","1000","0.002","",""
"energy options","energy options","2","1000","0.002","",""
"energy needs","energy needs","2","1000","0.002","",""
"energy jobs","energy jobs","2","1000","0.002","",""
"energy hydropower","energy hydropower","2","1000","0.002","",""
"energy generation","energy generation","2","1000","0.002","",""
"energy generated","energy generated","2","1000","0.002","",""
"energy future","energy future","2","1000","0.002","",""
"energy friday","energy friday","2","1000","0.002","",""
"energy environmentalists","energy environmentalists","2","1000","0.002","",""
"energy credit","energy credit","2","1000","0.002","",""
"energy consumers","energy consumers","2","1000","0.002","",""
"energy company","energy company","2","1000","0.002","",""
"energy companies","energy companies","2","1000","0.002","",""
"energy coal","energy coal","2","1000","0.002","",""
"energy carbon-neutral","energy carbon-neutral","2","1000","0.002","",""
"energy bioenergy","energy bioenergy","2","1000","0.002","",""
"energies wind","energies wind","2","1000","0.002","",""
"enacts law","enacts law","2","1000","0.002","",""
"eliminating need","eliminating need","2","1000","0.002","",""
"electricity wind","electricity wind","2","1000","0.002","",""
"electricity supply","electricity supply","2","1000","0.002","",""
"electricity renewable","electricity renewable","2","1000","0.002","",""
"electricity heat","electricity heat","2","1000","0.002","",""
"electricity grid","electricity grid","2","1000","0.002","",""
"electricity coming","electricity coming","2","1000","0.002","",""
"electricity coal","electricity coal","2","1000","0.002","",""
"electricity carbon","electricity carbon","2","1000","0.002","",""
"electricity burning","electricity burning","2","1000","0.002","",""
"electric vehicles","electric vehicles","2","1000","0.002","",""
"electric vehicle","electric vehicle","2","1000","0.002","",""
"electric companies","electric companies","2","1000","0.002","",""
"efficiency sustainably","efficiency sustainably","2","1000","0.002","",""
"economics biomass","economics biomass","2","1000","0.002","",""
"economically viable","economically viable","2","1000","0.002","",""
"ecologist university","ecologist university","2","1000","0.002","",""
"earth's biomass","earth's biomass","2","1000","0.002","",""
"dried cannabis","dried cannabis","2","1000","0.002","",""
"drax operates","drax operates","2","1000","0.002","",""
"download multimedia","download multimedia","2","1000","0.002","",""
"doors skylights","doors skylights","2","1000","0.002","",""
"district heating","district heating","2","1000","0.002","",""
"direct relevance","direct relevance","2","1000","0.002","",""
"direct air","direct air","2","1000","0.002","",""
"dioxide atmosphere","dioxide atmosphere","2","1000","0.002","",""
"development wind","development wind","2","1000","0.002","",""
"designated renewable","designated renewable","2","1000","0.002","",""
"demand woody","demand woody","2","1000","0.002","",""
"deemed carbon-neutral","deemed carbon-neutral","2","1000","0.002","",""
"dedicate new","dedicate new","2","1000","0.002","",""
"decrease biomass","decrease biomass","2","1000","0.002","",""
"declined percent","declined percent","2","1000","0.002","",""
"decision cut","decision cut","2","1000","0.002","",""
"deaths annually","deaths annually","2","1000","0.002","",""
"current policies","current policies","2","1000","0.002","",""
"curb biomass","curb biomass","2","1000","0.002","",""
"cultivation biomass","cultivation biomass","2","1000","0.002","",""
"created burning","created burning","2","1000","0.002","",""
"create millions","create millions","2","1000","0.002","",""
"create energy","create energy","2","1000","0.002","",""
"create carbon","create carbon","2","1000","0.002","",""
"cow dung","cow dung","2","1000","0.002","",""
"costs wind","costs wind","2","1000","0.002","",""
"corn ethanol","corn ethanol","2","1000","0.002","",""
"cooking stoves","cooking stoves","2","1000","0.002","",""
"cooking heating","cooking heating","2","1000","0.002","",""
"cooking government","cooking government","2","1000","0.002","",""
"cooking gas","cooking gas","2","1000","0.002","",""
"converting biomass","converting biomass","2","1000","0.002","",""
"converted biomass","converted biomass","2","1000","0.002","",""
"convert wood","convert wood","2","1000","0.002","",""
"content download","content download","2","1000","0.002","",""
"construction new","construction new","2","1000","0.002","",""
"considered sustainable","considered sustainable","2","1000","0.002","",""
"connecticut market","connecticut market","2","1000","0.002","",""
"conditioning systems","conditioning systems","2","1000","0.002","",""
"comprise percent","comprise percent","2","1000","0.002","",""
"companies electricity","companies electricity","2","1000","0.002","",""
"community environmental","community environmental","2","1000","0.002","",""
"combustion engine","combustion engine","2","1000","0.002","",""
"combined carbon","combined carbon","2","1000","0.002","",""
"columbia process","columbia process","2","1000","0.002","",""
"coal nuclear","coal nuclear","2","1000","0.002","",""
"co2 emissions","co2 emissions","2","1000","0.002","",""
"co2 air","co2 air","2","1000","0.002","",""
"co-author william","co-author william","2","1000","0.002","",""
"climate solution","climate solution","2","1000","0.002","",""
"climate issues","climate issues","2","1000","0.002","",""
"climate crisis","climate crisis","2","1000","0.002","",""
"climate bill","climate bill","2","1000","0.002","",""
"clear large","clear large","2","1000","0.002","",""
"cleaner energy","cleaner energy","2","1000","0.002","",""
"classified biomass","classified biomass","2","1000","0.002","",""
"chief executive","chief executive","2","1000","0.002","",""
"cheung marine","cheung marine","2","1000","0.002","",""
"charter street","charter street","2","1000","0.002","",""
"channels analysis","channels analysis","2","1000","0.002","",""
"change study","change study","2","1000","0.002","",""
"cellulose biomass","cellulose biomass","2","1000","0.002","",""
"cbd products","cbd products","2","1000","0.002","",""
"carbon-neutral loophole","carbon-neutral loophole","2","1000","0.002","",""
"carbon-neutral energy","carbon-neutral energy","2","1000","0.002","",""
"carbon storage","carbon storage","2","1000","0.002","",""
"carbon seabed","carbon seabed","2","1000","0.002","",""
"carbon removal","carbon removal","2","1000","0.002","",""
"carbon released","carbon released","2","1000","0.002","",""
"carbon produced","carbon produced","2","1000","0.002","",""
"carbon footprint","carbon footprint","2","1000","0.002","",""
"capture biomass","capture biomass","2","1000","0.002","",""
"capacity georgia's","capacity georgia's","2","1000","0.002","",""
"capacity 425,000","capacity 425,000","2","1000","0.002","",""
"cannabis hemp","cannabis hemp","2","1000","0.002","",""
"cannabidiol cbd","cannabidiol cbd","2","1000","0.002","",""
"canada annual","canada annual","2","1000","0.002","",""
"calls renewable","calls renewable","2","1000","0.002","",""
"calculate biomass","calculate biomass","2","1000","0.002","",""
"burning woody","burning woody","2","1000","0.002","",""
"burning trees","burning trees","2","1000","0.002","",""
"burning renewable","burning renewable","2","1000","0.002","",""
"burning power","burning power","2","1000","0.002","",""
"burning forests","burning forests","2","1000","0.002","",""
"burning forest","burning forest","2","1000","0.002","",""
"burning coal","burning coal","2","1000","0.002","",""
"burned biomass","burned biomass","2","1000","0.002","",""
"burn biomass","burn biomass","2","1000","0.002","",""
"bulk renewable","bulk renewable","2","1000","0.002","",""
"build biomass","build biomass","2","1000","0.002","",""
"britain's biggest","britain's biggest","2","1000","0.002","",""
"bring back","bring back","2","1000","0.002","",""
"biomasses biofuels","biomasses biofuels","2","1000","0.002","",""
"biomass-powered plant","biomass-powered plant","2","1000","0.002","",""
"biomass-derived fuel","biomass-derived fuel","2","1000","0.002","",""
"biomass wild","biomass wild","2","1000","0.002","",""
"biomass weight","biomass weight","2","1000","0.002","",""
"biomass waste-to-energy","biomass waste-to-energy","2","1000","0.002","",""
"biomass volume","biomass volume","2","1000","0.002","",""
"biomass units","biomass units","2","1000","0.002","",""
"biomass trees","biomass trees","2","1000","0.002","",""
"biomass transition","biomass transition","2","1000","0.002","",""
"biomass sustainable","biomass sustainable","2","1000","0.002","",""
"biomass stove","biomass stove","2","1000","0.002","",""
"biomass small-scale","biomass small-scale","2","1000","0.002","",""
"biomass scheme","biomass scheme","2","1000","0.002","",""
"biomass rest","biomass rest","2","1000","0.002","",""
"biomass reduction","biomass reduction","2","1000","0.002","",""
"biomass raw","biomass raw","2","1000","0.002","",""
"biomass pyramids","biomass pyramids","2","1000","0.002","",""
"biomass purpose-built","biomass purpose-built","2","1000","0.002","",""
"biomass products","biomass products","2","1000","0.002","",""
"biomass processed","biomass processed","2","1000","0.002","",""
"biomass potential","biomass potential","2","1000","0.002","",""
"biomass percent","biomass percent","2","1000","0.002","",""
"biomass oxygen","biomass oxygen","2","1000","0.002","",""
"biomass originator","biomass originator","2","1000","0.002","",""
"biomass organization","biomass organization","2","1000","0.002","",""
"biomass oceans","biomass oceans","2","1000","0.002","",""
"biomass ocean","biomass ocean","2","1000","0.002","",""
"biomass materials","biomass materials","2","1000","0.002","",""
"biomass mass","biomass mass","2","1000","0.002","",""
"biomass marine","biomass marine","2","1000","0.002","",""
"biomass led","biomass led","2","1000","0.002","",""
"biomass infrastructure","biomass infrastructure","2","1000","0.002","",""
"biomass industrial","biomass industrial","2","1000","0.002","",""
"biomass increases","biomass increases","2","1000","0.002","",""
"biomass increased","biomass increased","2","1000","0.002","",""
"biomass including","biomass including","2","1000","0.002","",""
"biomass high","biomass high","2","1000","0.002","",""
"biomass heaters","biomass heaters","2","1000","0.002","",""
"biomass heat","biomass heat","2","1000","0.002","",""
"biomass ground","biomass ground","2","1000","0.002","",""
"biomass greater","biomass greater","2","1000","0.002","",""
"biomass gasifier","biomass gasifier","2","1000","0.002","",""
"biomass fossil","biomass fossil","2","1000","0.002","",""
"biomass estimated","biomass estimated","2","1000","0.002","",""
"biomass emissions","biomass emissions","2","1000","0.002","",""
"biomass ecosystems","biomass ecosystems","2","1000","0.002","",""
"biomass earth","biomass earth","2","1000","0.002","",""
"biomass designated","biomass designated","2","1000","0.002","",""
"biomass depending","biomass depending","2","1000","0.002","",""
"biomass deemed","biomass deemed","2","1000","0.002","",""
"biomass crops","biomass crops","2","1000","0.002","",""
"biomass crop","biomass crop","2","1000","0.002","",""
"biomass cooking","biomass cooking","2","1000","0.002","",""
"biomass conversion","biomass conversion","2","1000","0.002","",""
"biomass contributed","biomass contributed","2","1000","0.002","",""
"biomass considered","biomass considered","2","1000","0.002","",""
"biomass competitive","biomass competitive","2","1000","0.002","",""
"biomass climate","biomass climate","2","1000","0.002","",""
"biomass carbon-neutral","biomass carbon-neutral","2","1000","0.002","",""
"biomass built","biomass built","2","1000","0.002","",""
"biomass boilers","biomass boilers","2","1000","0.002","",""
"biomass biomass","biomass biomass","2","1000","0.002","",""
"biomass biogas","biomass biogas","2","1000","0.002","",""
"biomass biodiversity","biomass biodiversity","2","1000","0.002","",""
"biomass agricultural","biomass agricultural","2","1000","0.002","",""
"biomass affordable","biomass affordable","2","1000","0.002","",""
"biomass accounts","biomass accounts","2","1000","0.002","",""
"biofuels clear","biofuels clear","2","1000","0.002","",""
"biodiesel tax","biodiesel tax","2","1000","0.002","",""
"biodiesel gasoline","biodiesel gasoline","2","1000","0.002","",""
"bio growing","bio growing","2","1000","0.002","",""
"billion tons","billion tons","2","1000","0.002","",""
"bill mckibben","bill mckibben","2","1000","0.002","",""
"bill include","bill include","2","1000","0.002","",""
"bill called","bill called","2","1000","0.002","",""
"benefits biomass","benefits biomass","2","1000","0.002","",""
"beijing's acting","beijing's acting","2","1000","0.002","",""
"barbecues garbage","barbecues garbage","2","1000","0.002","",""
"back coal","back coal","2","1000","0.002","",""
"avoid carbon","avoid carbon","2","1000","0.002","",""
"authors wrote","authors wrote","2","1000","0.002","",""
"atmosphere lock","atmosphere lock","2","1000","0.002","",""
"association massachusetts","association massachusetts","2","1000","0.002","",""
"arctic increased","arctic increased","2","1000","0.002","",""
"annual capacity","annual capacity","2","1000","0.002","",""
"announced friday","announced friday","2","1000","0.002","",""
"animal waste","animal waste","2","1000","0.002","",""
"amounts carbon","amounts carbon","2","1000","0.002","",""
"alternative fuels","alternative fuels","2","1000","0.002","",""
"algal blooms","algal blooms","2","1000","0.002","",""
"air pollutants","air pollutants","2","1000","0.002","",""
"air conditioning","air conditioning","2","1000","0.002","",""
"air capture","air capture","2","1000","0.002","",""
"agricultural residue","agricultural residue","2","1000","0.002","",""
"agricultural biomass","agricultural biomass","2","1000","0.002","",""
"affordable energy","affordable energy","2","1000","0.002","",""
"advanced biofuel","advanced biofuel","2","1000","0.002","",""
"adopt policies","adopt policies","2","1000","0.002","",""
"administration eia","administration eia","2","1000","0.002","",""
"adds new","adds new","2","1000","0.002","",""
"add biomass","add biomass","2","1000","0.002","",""
"acting mayor","acting mayor","2","1000","0.002","",""
"acknowledge biomass","acknowledge biomass","2","1000","0.002","",""
"accounts percent","accounts percent","2","1000","0.002","",""
"account percent","account percent","2","1000","0.002","",""
"425,000 kg","425,000 kg","2","1000","0.002","",""
"3.3 grid","3.3 grid","2","1000","0.002","",""
"3.1 market","3.1 market","2","1000","0.002","",""
"3.1 cbd","3.1 cbd","2","1000","0.002","",""
"3.1 4.2","3.1 4.2","2","1000","0.002","",""
"20th century","20th century","2","1000","0.002","",""
"14.3 sales","14.3 sales","2","1000","0.002","",""
"₂ plant","₂ plant","1","1000","0.001","",""
"â massive","â massive","1","1000","0.001","",""
"zurich march","zurich march","1","1000","0.001","",""
"zooplankton spring","zooplankton spring","1","1000","0.001","",""
"zooplankton small","zooplankton small","1","1000","0.001","",""
"zooplankton lowest","zooplankton lowest","1","1000","0.001","",""
"zone countries","zone countries","1","1000","0.001","",""
"zhang process","zhang process","1","1000","0.001","",""
"zero-emissions renewable","zero-emissions renewable","1","1000","0.001","",""
"zero-emissions energy","zero-emissions energy","1","1000","0.001","",""
"zero-emission power","zero-emission power","1","1000","0.001","",""
"zero-carbon heat","zero-carbon heat","1","1000","0.001","",""
"zeachem developer","zeachem developer","1","1000","0.001","",""
"yukon's emerging","yukon's emerging","1","1000","0.001","",""
"young driven","young driven","1","1000","0.001","",""
"yorkshire partially","yorkshire partially","1","1000","0.001","",""
"yorkshire europe's","yorkshire europe's","1","1000","0.001","",""
"yorkshire converted","yorkshire converted","1","1000","0.001","",""
"yorkshire burn","yorkshire burn","1","1000","0.001","",""
"yorkshire britain","yorkshire britain","1","1000","0.001","",""
"york times","york times","1","1000","0.001","",""
"york remove","york remove","1","1000","0.001","",""
"york create","york create","1","1000","0.001","",""
"york city","york city","1","1000","0.001","",""
"york adopt","york adopt","1","1000","0.001","",""
"yolo solano","yolo solano","1","1000","0.001","",""
"yields times","yields times","1","1000","0.001","",""
"yields time","yields time","1","1000","0.001","",""
"yield level","yield level","1","1000","0.001","",""
"yield australia's","yield australia's","1","1000","0.001","",""
"yha eskdale","yha eskdale","1","1000","0.001","",""
"yellow perch","yellow perch","1","1000","0.001","",""
"yellow electrolysis","yellow electrolysis","1","1000","0.001","",""
"yeast derived","yeast derived","1","1000","0.001","",""
"yearly deficit","yearly deficit","1","1000","0.001","",""
"xl bluetooth","xl bluetooth","1","1000","0.001","",""
"xiv sum","xiv sum","1","1000","0.001","",""
"xinhua news","xinhua news","1","1000","0.001","",""
"www.biomasscontrols.com email","www.biomasscontrols.com email","1","1000","0.001","",""
"wte renewable","wte renewable","1","1000","0.001","",""
"wte processes","wte processes","1","1000","0.001","",""
"wrote town","wrote town","1","1000","0.001","",""
"wrote study","wrote study","1","1000","0.001","",""
"wrote proposal","wrote proposal","1","1000","0.001","",""
"wrote global","wrote global","1","1000","0.001","",""
"wrote dozen","wrote dozen","1","1000","0.001","",""
"wrote biden","wrote biden","1","1000","0.001","",""
"wrong wood","wrong wood","1","1000","0.001","",""
"wrong moment","wrong moment","1","1000","0.001","",""
"writes national","writes national","1","1000","0.001","",""
"writer president","writer president","1","1000","0.001","",""
"write report","write report","1","1000","0.001","",""
"write purchases","write purchases","1","1000","0.001","",""
"wriggling biomass","wriggling biomass","1","1000","0.001","",""
"wrestled unsuccessfully","wrestled unsuccessfully","1","1000","0.001","",""
"wrench plans","wrench plans","1","1000","0.001","",""
"wreak havoc","wreak havoc","1","1000","0.001","",""
"worsens climate","worsens climate","1","1000","0.001","",""
